,순번,구분,타입,계약면적(㎡),전용면적(㎡),대지면적(㎡),매매가,보증금 (단위: 만원),월세(단위:만원),주소,기타(세부주소)
0,1,용원동,월세,228.37,123.12,-,-,2000,150,경상남도 창원시 진해구 용원동 단지내상가 코리아시티,단지내상가 코리아시티2층
1,2,용원동,월세,203.24,113.97,-,-,1000,100,경상남도 창원시 진해구 용원동 일반상가 신항주상가,일반상가 신항주상가5층
2,3,용원동,월세,214.42,108.52,-,-,2000,120,경상남도 창원시 진해구 용원동 일반상가 드림타워,일반상가 드림타워4층
3,4,용원동,월세,182.48,98.48,-,-,2000,150,경상남도 창원시 진해구 용원동 일반상가 신항코리아시티,일반상가 신항코리아시티2층
4,5,용원동,월세,388.19,247.08,-,-,6000,300,경상남도 창원시 진해구 용원동 일반상가 재경빌딩,일반상가 재경빌딩3층
5,6,용원동,월세,272.92,153.05,-,-,3000,150,경상남도 창원시 진해구 용원동 일반상가 신항주상가,일반상가 신항주상가4층
6,7,용원동,월세,272.92,153.05,-,-,3000,150,경상남도 창원시 진해구 용원동 일반상가,일반상가4층
7,8,용원동,월세,397.25,397.25,-,-,6000,475,경상남도 창원시 진해구 용원동 일반상가,일반상가1층
8,9,용원동,월세,2542.1,583,-,-,40000,2400,경상남도 창원시 진해구 용원동 일반상가,일반상가1층
9,10,용원동,월세,228.37,123.12,-,-,2000,150,경상남도 창원시 진해구 용원동 일반상가 코리아시티,일반상가 코리아시티2층
10,11,용원동,매매,-,-,1296,60억,-,-,경상남도 창원시 진해구 용원동,대
11,12,용원동,매매,-,-,2899,9억,-,-,경상남도 창원시 진해구 용원동 답,답
12,13,용원동,매매,212,119.06,-,7억,-,-,경상남도 창원시 진해구 용원동 단지내상가 신항에비뉴타워,단지내상가 신항에비뉴타워2층
13,14,용원동,매매,276.65,151.33,-,"1억 5,000",-,-,경상남도 창원시 진해구 용원동 일반상가 용원빌딩,일반상가 용원빌딩6층
14,15,용원동,매매,-,-,3501,"1,059억",-,-,경상남도 창원시 진해구 용원동,대
15,16,용원동,매매,-,-,266,"3억 2,000",-,-,경상남도 창원시 진해구 용원동,대
16,17,용원동,매매,-,-,7769,155억,-,-,경상남도 창원시 진해구 용원동,대
17,18,용원동,매매,213.76,113.74,-,"9억 7,000",-,-,경상남도 창원시 진해구 용원동 일반상가 마린타워,일반상가 마린타워2층
18,19,용원동,매매,836.03,836.03,-,35억,-,-,경상남도 창원시 진해구 용원동 일반상가 맥도날드 옆,일반상가 맥도날드 옆2층
19,20,신호동,월세,237.04,172.72,-,-,2000,150,부산시 강서구 신호동 일반상가 골든뷰상가,일반상가 골든뷰상가5층
20,21,신호동,월세,337.57,205.32,-,-,2000,150,부산시 강서구 신호동 일반상가,일반상가4층
21,22,신호동,월세,307.71,218.02,-,-,3000,200,부산시 강서구 신호동 일반상가,일반상가2층
22,23,신호동,월세,218.02,218.02,-,-,3000,200,부산시 강서구 신호동 일반상가,일반상가2층
23,24,신호동,월세,655.94,108.24,-,-,2000,150,부산시 강서구 신호동 일반상가,일반상가2층
24,25,신호동,월세,-,-,3337.3,-,10000,1010,부산시 강서구 신호동,대
25,26,신호동,월세,280.19,42.97,-,-,2000,80,부산시 강서구 신호동 일반상가,일반상가1층
26,27,신호동,월세,610.64,403.88,-,-,5000,380,부산시 강서구 신호동 대형사무실,대형사무실2층
27,28,신호동,월세,307.7,218,-,-,3000,200,부산시 강서구 신호동 일반상가,일반상가2층
28,29,신호동,월세,280.27,218.02,-,-,3000,200,부산시 강서구 신호동 일반상가,일반상가2층
29,30,신호동,월세,240.78,147.06,-,-,3000,140,부산시 강서구 신호동 일반상가,일반상가2층
30,31,신호동,월세,172.56,131,-,-,1000,40,부산시 강서구 신호동 일반상가,일반상가3층
31,32,신호동,월세,218.02,218.02,-,-,3000,200,부산시 강서구 신호동 일반상가,일반상가2층
32,33,신호동,월세,307,218,-,-,3000,200,부산시 강서구 신호동 일반상가 골든뷰,일반상가 골든뷰2층
33,34,신호동,월세,307,218.02,-,-,3000,200,부산시 강서구 신호동 일반상가,일반상가2층
34,35,신호동,월세,209.44,209.44,-,-,3000,230,부산시 강서구 신호동 일반상가,일반상가2층
35,36,신호동,월세,190.96,146.94,-,-,2000,100,부산시 강서구 신호동 일반상가B,일반상가B1층
36,37,신호동,월세,-,-,550,-,1000,50,부산시 강서구 신호동,대
37,38,신호동,월세,218.02,218.02,-,-,3000,200,부산시 강서구 신호동 복합상가,복합상가2층
38,39,신호동,매매,-,-,1653,5억,-,-,부산시 강서구 신호동 잡종지,잡종지
39,40,신호동,매매,-,-,549.8,22억,-,-,부산시 강서구 신호동,대
40,41,신호동,매매,-,-,275.8,"5억 5,000",-,-,부산시 강서구 신호동,대
41,42,신호동,매매,-,-,661.16,22억,-,-,부산시 강서구 신호동,대
42,43,신호동,매매,-,-,202.5,"3억 7,000",-,-,부산시 강서구 신호동,대
43,44,신호동,매매,218.02,218.02,-,"5억 2,000",-,-,부산시 강서구 신호동 일반상가,일반상가2층
44,45,신호동,매매,-,-,642.1,17억,-,-,부산시 강서구 신호동,대
45,46,신호동,매매,-,-,225.2,"5억 5,000",-,-,부산시 강서구 신호동,대
46,47,신호동,매매,-,-,229.9,"5억 5,500",-,-,부산시 강서구 신호동,대
47,48,신호동,매매,170.68,106.88,-,2억,-,-,부산시 강서구 신호동 일반상가,일반상가1층
48,49,신호동,매매,-,-,230,4억,-,-,부산시 강서구 신호동,대
49,50,신호동,매매,-,-,276,5억,-,-,부산시 강서구 신호동,대
50,51,신호동,매매,-,-,194,"3억 8,000",-,-,부산시 강서구 신호동,대
51,52,신호동,매매,-,-,660,20억,-,-,부산시 강서구 신호동,대
52,53,신호동,매매,319.75,213.6,-,2억 350,-,-,부산시 강서구 신호동 일반상가,일반상가4층
53,54,신호동,매매,-,-,550,"11억 2,000",-,-,부산시 강서구 신호동,대
54,55,신호동,매매,-,-,522.5,13억,-,-,부산시 강서구 신호동,대
55,56,신호동,매매,-,-,550,10억,-,-,부산시 강서구 신호동,대
56,57,신호동,매매,237.04,172.72,-,3억,-,-,부산시 강서구 신호동 일반상가 골든뷰,일반상가 골든뷰5층
57,58,신호동,매매,-,-,239.9,"4억 6,000",-,-,부산시 강서구 신호동,대
58,59,신호동,매매,-,-,230,"5억 2,500",-,-,부산시 강서구 신호동,대
59,60,신호동,매매,-,-,230,"5억 2,500",-,-,부산시 강서구 신호동,대
60,61,신호동,매매,-,-,194.1,"3억 8,100",-,-,부산시 강서구 신호동,대
61,62,명지동,전세,203.9,122.4,-,-,-,-,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어2층
62,63,명지동,월세,287.6,167.96,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가8층
63,64,명지동,월세,370.6,370.6,-,-,5000,345,부산시 강서구 명지동 일반상가,일반상가2층
64,65,명지동,월세,165.02,165.02,-,-,4000,320,부산시 강서구 명지동 일반상가,일반상가1층
65,66,명지동,월세,284.2,167.6,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가3층
66,67,명지동,월세,428,266,-,-,5000,200,부산시 강서구 명지동 일반상가,일반상가3층
67,68,명지동,월세,422.47,422.47,-,-,7000,550,부산시 강서구 명지동 복합상가,복합상가4층
68,69,명지동,월세,293.37,182.8,-,-,3000,120,부산시 강서구 명지동 일반상가,일반상가6층
69,70,명지동,월세,305.4,134.88,-,-,3000,180,부산시 강서구 명지동 중소형사무실,중소형사무실8층
70,71,명지동,월세,271.82,115.32,-,-,3000,150,부산시 강서구 명지동 복합상가,복합상가2층
71,72,명지동,월세,172.48,172.48,-,-,3000,190,부산시 강서구 명지동 일반상가,일반상가1층
72,73,명지동,월세,297.1,131.2,-,-,3000,180,부산시 강서구 명지동 중소형사무실1,중소형사무실15층
73,74,명지동,월세,295.2,130.4,-,-,3000,180,부산시 강서구 명지동 중소형사무실1,중소형사무실16층
74,75,명지동,월세,303.86,134.2,-,-,3000,180,부산시 강서구 명지동 중소형사무실,중소형사무실8층
75,76,명지동,월세,282,250,-,-,3000,160,부산시 강서구 명지동 일반상가,일반상가2층
76,77,명지동,월세,1694.46,1694.46,-,-,-,1200,부산시 강서구 명지동 일반상가,일반상가1층
77,78,명지동,월세,357.64,157.95,-,-,3000,220,부산시 강서구 명지동 중소형사무실1,중소형사무실12층
78,79,명지동,월세,294,294,-,-,6000,300,부산시 강서구 명지동 일반상가,일반상가2층
79,80,명지동,월세,201.53,116.2,-,-,2000,110,부산시 강서구 명지동 일반상가,일반상가2층
80,81,명지동,월세,352.3,155.59,-,-,3000,220,부산시 강서구 명지동 중소형사무실1,중소형사무실13층
81,82,명지동,월세,347,153.25,-,-,3000,220,부산시 강서구 명지동 중소형사무실1,중소형사무실14층
82,83,명지동,월세,294,294,-,-,6000,300,부산시 강서구 명지동 일반상가 누리프라자,일반상가 누리프라자2층
83,84,명지동,월세,200,141,-,-,5000,400,부산시 강서구 명지동 일반상가,일반상가2층
84,85,명지동,월세,170,122.4,-,-,1000,100,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어2층
85,86,명지동,월세,181.07,100.89,-,-,1000,70,부산시 강서구 명지동 중소형사무실 플러스시티주건축물,중소형사무실 플러스시티주건축물7층
86,87,명지동,월세,324.14,187.5,-,-,3000,180,부산시 강서구 명지동 일반상가,일반상가4층
87,88,명지동,월세,524.03,300.72,-,-,5000,500,부산시 강서구 명지동 일반상가,일반상가3층
88,89,명지동,월세,287.1,287.1,-,-,10000,550,부산시 강서구 명지동 일반상가,일반상가3층
89,90,명지동,월세,321.3,141.9,-,-,3000,200,부산시 강서구 명지동 대형사무실1,대형사무실19층
90,91,명지동,월세,169.68,74.94,-,-,3000,100,부산시 강서구 명지동 중소형사무실 퍼스트월드 샤인1,중소형사무실 퍼스트월드 샤인16층
91,92,명지동,월세,165.45,103.1,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가3층
92,93,명지동,월세,178,107.5,-,-,1000,70,부산시 강서구 명지동 일반상가,일반상가7층
93,94,명지동,월세,284.75,125.76,-,-,3000,220,부산시 강서구 명지동 중소형사무실,중소형사무실3층
94,95,명지동,월세,293.37,182.8,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가6층
95,96,명지동,월세,360.25,159.1,-,-,4000,250,부산시 강서구 명지동 대형사무실1,대형사무실13층
96,97,명지동,월세,370,163.4,-,-,3000,240,부산시 강서구 명지동 중소형사무실1,중소형사무실11층
97,98,명지동,월세,370,163.4,-,-,3000,240,부산시 강서구 명지동 중소형사무실1,중소형사무실11층
98,99,명지동,월세,186.24,110.7,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가2층
99,100,명지동,월세,250,250,-,-,7000,300,부산시 강서구 명지동 일반상가,일반상가3층
100,101,명지동,월세,324.14,187.5,-,-,3000,170,부산시 강서구 명지동 일반상가,일반상가4층
101,102,명지동,월세,250,136,-,-,3000,150,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어2층
102,103,명지동,월세,170,140,-,-,3000,120,부산시 강서구 명지동 일반상가,일반상가2층
103,104,명지동,월세,166.31,103.63,-,-,2000,70,부산시 강서구 명지동 일반상가,일반상가9층
104,105,명지동,월세,187,118,-,-,2000,60,부산시 강서구 명지동 일반상가 대산골든스퀘어,일반상가 대산골든스퀘어6층
105,106,명지동,월세,191,100,-,-,1000,70,부산시 강서구 명지동 일반상가 플러스시티,일반상가 플러스시티2층
106,107,명지동,월세,200,140,-,-,2000,100,부산시 강서구 명지동 일반상가 더프라임,일반상가 더프라임4층
107,108,명지동,월세,407,225,-,-,2000,130,부산시 강서구 명지동 일반상가 플러스시티,일반상가 플러스시티9층
108,109,명지동,월세,246.34,188.57,-,-,3000,140,부산시 강서구 명지동 대형사무실,대형사무실5층
109,110,명지동,월세,203.9,122.4,-,-,3000,120,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어2층
110,111,명지동,월세,192,100.8,-,-,1000,60,부산시 강서구 명지동 일반상가 플러스시티,일반상가 플러스시티7층
111,112,명지동,월세,298.28,180,-,-,2000,180,부산시 강서구 명지동 일반상가,일반상가2층
112,113,명지동,월세,165.2,165.2,-,-,3000,300,부산시 강서구 명지동 일반상가,일반상가1층
113,114,명지동,월세,215,215,-,-,4000,200,부산시 강서구 명지동 일반상가,일반상가3층
114,115,명지동,월세,300,140.25,-,-,3000,150,부산시 강서구 명지동 일반상가 모아진빌딩,일반상가 모아진빌딩2층
115,116,명지동,월세,206.04,103.09,-,-,2000,70,부산시 강서구 명지동 일반상가 대산골든스퀘어1,일반상가 대산골든스퀘어10층
116,117,명지동,월세,224.7,139.8,-,-,3000,180,부산시 강서구 명지동 일반상가,일반상가2층
117,118,명지동,월세,433.8,53.3,-,-,1000,90,부산시 강서구 명지동 대형사무실,대형사무실2층
118,119,명지동,월세,294,294,-,-,6000,300,부산시 강서구 명지동 일반상가,일반상가2층
119,120,명지동,월세,170,105,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가4층
120,121,명지동,월세,187.74,113.22,-,-,1000,50,부산시 강서구 명지동 일반상가,일반상가5층
121,122,명지동,월세,170,143,-,-,3000,250,부산시 강서구 명지동 일반상가 국제타워,일반상가 국제타워2층
122,123,명지동,월세,214.24,124.7,-,-,2000,80,부산시 강서구 명지동 일반상가 명지에프엔비,일반상가 명지에프엔비7층
123,124,명지동,월세,168.3,126.48,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가5층
124,125,명지동,월세,208,126,-,-,2000,100,부산시 강서구 명지동 일반상가 제이티프라자,일반상가 제이티프라자6층
125,126,명지동,월세,299.02,131.72,-,-,3000,200,부산시 강서구 명지동 중소형사무실1,중소형사무실13층
126,127,명지동,월세,233.25,122.4,-,-,2000,100,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어2층
127,128,명지동,월세,305.4,134.88,-,-,3000,180,부산시 강서구 명지동 중소형사무실,중소형사무실8층
128,129,명지동,월세,211.69,211.69,-,-,5000,450,부산시 강서구 명지동 일반상가,일반상가1층
129,130,명지동,월세,389.16,256.62,-,-,5000,600,부산시 강서구 명지동 일반상가,일반상가1층
130,131,명지동,월세,169.67,71.99,-,-,1000,90,부산시 강서구 명지동 단지내상가 명지대방디엠시티1차,단지내상가 명지대방디엠시티1차2층
131,132,명지동,월세,165.99,85.72,-,-,1000,80,부산시 강서구 명지동 단지내상가 이편한세상명지,단지내상가 이편한세상명지2층
132,133,명지동,월세,743.47,414.55,-,-,9000,600,부산시 강서구 명지동 일반상가,일반상가4층
133,134,명지동,월세,209.6,120.32,-,-,3000,110,부산시 강서구 명지동 일반상가,일반상가7층
134,135,명지동,월세,209.6,120.32,-,-,3000,110,부산시 강서구 명지동 일반상가,일반상가7층
135,136,명지동,월세,214.3,122,-,-,3000,150,부산시 강서구 명지동 일반상가,일반상가4층
136,137,명지동,월세,1012,1012,-,-,10000,800,부산시 강서구 명지동 일반상가1,일반상가10층
137,138,명지동,월세,165,93,-,-,1000,60,부산시 강서구 명지동 중소형사무실 kb타워,중소형사무실 kb타워6층
138,139,명지동,월세,175.2,175.2,-,-,3000,200,부산시 강서구 명지동 일반상가,일반상가9층
139,140,명지동,월세,915.5,256.62,-,-,5000,600,부산시 강서구 명지동 복합상가,복합상가1층
140,141,명지동,월세,282.74,172.26,-,-,3000,90,부산시 강서구 명지동 일반상가,일반상가3층
141,142,명지동,월세,190.32,190.32,-,-,3000,250,부산시 강서구 명지동 일반상가,일반상가2층
142,143,명지동,월세,176.09,105.78,-,-,3000,150,부산시 강서구 명지동 일반상가,일반상가7층
143,144,명지동,월세,351.2,351.2,-,-,5000,345,부산시 강서구 명지동 일반상가,일반상가2층
144,145,명지동,월세,204.35,119.34,-,-,2000,70,부산시 강서구 명지동 일반상가,일반상가4층
145,146,명지동,월세,248.3,144,-,-,3000,150,부산시 강서구 명지동 일반상가1,일반상가10층
146,147,명지동,월세,188.13,109.85,-,-,5000,250,부산시 강서구 명지동 일반상가,일반상가1층
147,148,명지동,월세,246.77,137.6,-,-,2000,130,부산시 강서구 명지동 일반상가,일반상가4층
148,149,명지동,월세,351.2,351.2,-,-,5000,345,부산시 강서구 명지동 일반상가,일반상가2층
149,150,명지동,월세,583,583,-,-,7500,550,부산시 강서구 명지동 일반상가,일반상가2층
150,151,명지동,월세,813.04,596.62,-,-,-,1100,부산시 강서구 명지동 대형사무실2,대형사무실22층
151,152,명지동,월세,261.15,145.45,-,-,2000,130,부산시 강서구 명지동 복합상가 삼성빌딩,복합상가 삼성빌딩5층
152,153,명지동,월세,236.86,136.67,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가5층
153,154,명지동,월세,685,423,-,-,7000,600,부산시 강서구 명지동 일반상가 삼성빌딩,일반상가 삼성빌딩4층
154,155,명지동,월세,286.15,235.4,-,-,3000,230,부산시 강서구 명지동 일반상가,일반상가2층
155,156,명지동,월세,172.48,172.48,-,-,3000,190,부산시 강서구 명지동 일반상가,일반상가1층
156,157,명지동,월세,743,414,-,-,9000,600,부산시 강서구 명지동 일반상가1,일반상가11층
157,158,명지동,월세,287.6,167.96,-,-,2000,150,부산시 강서구 명지동 일반상가,일반상가2층
158,159,명지동,월세,175.76,107.5,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가4층
159,160,명지동,월세,208.79,126,-,-,3000,120,부산시 강서구 명지동 일반상가,일반상가3층
160,161,명지동,월세,351,351,-,-,5000,345,부산시 강서구 명지동 일반상가,일반상가2층
161,162,명지동,월세,180,94.8,-,-,1000,60,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어2층
162,163,명지동,월세,181.07,104.4,-,-,2000,90,부산시 강서구 명지동 일반상가,일반상가2층
163,164,명지동,월세,209.62,126.42,-,-,2000,110,부산시 강서구 명지동 일반상가,일반상가4층
164,165,명지동,월세,171.9,171.9,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가6층
165,166,명지동,월세,211.69,211.69,-,-,7000,400,부산시 강서구 명지동 단지내상가 태림프라자,단지내상가 태림프라자1층
166,167,명지동,월세,174.12,105,-,-,2000,60,부산시 강서구 명지동 일반상가,일반상가3층
167,168,명지동,월세,174.12,105,-,-,3000,120,부산시 강서구 명지동 일반상가,일반상가4층
168,169,명지동,월세,174.12,105,-,-,1000,100,부산시 강서구 명지동 일반상가,일반상가4층
169,170,명지동,월세,176.26,131.48,-,-,2000,150,부산시 강서구 명지동 일반상가,일반상가2층
170,171,명지동,월세,321.7,187.62,-,-,2000,150,부산시 강서구 명지동 단지내상가,단지내상가2층
171,172,명지동,월세,285,126,-,-,3000,200,부산시 강서구 명지동 대형사무실 더샵퍼스트월드 샤인2,대형사무실 더샵퍼스트월드 샤인21층
172,173,명지동,월세,174.12,105,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가4층
173,174,명지동,월세,209.5,121,-,-,2000,60,부산시 강서구 명지동 일반상가,일반상가4층
174,175,명지동,월세,317,179,-,-,3000,140,부산시 강서구 명지동 일반상가 더프라임,일반상가 더프라임9층
175,176,명지동,월세,262.23,151.2,-,-,2000,180,부산시 강서구 명지동 일반상가,일반상가2층
176,177,명지동,월세,169.61,92.72,-,-,2000,90,부산시 강서구 명지동 일반상가,일반상가2층
177,178,명지동,월세,195.03,113.74,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가2층
178,179,명지동,월세,349.03,349.03,-,-,10000,500,부산시 강서구 명지동 일반상가,일반상가1층
179,180,명지동,월세,165.45,103.09,-,-,1000,80,부산시 강서구 명지동 일반상가,일반상가7층
180,181,명지동,월세,196.29,113.18,-,-,2000,150,부산시 강서구 명지동 일반상가,일반상가2층
181,182,명지동,월세,233.25,122.4,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가2층
182,183,명지동,월세,220,159,-,-,2000,180,부산시 강서구 명지동 일반상가 퍼스트삼융,일반상가 퍼스트삼융3층
183,184,명지동,월세,246,155,-,-,2000,90,부산시 강서구 명지동 일반상가 대산골든스퀘어,일반상가 대산골든스퀘어3층
184,185,명지동,월세,175.76,107.5,-,-,2000,110,부산시 강서구 명지동 일반상가,일반상가4층
185,186,명지동,월세,235.7,140.1,-,-,1000,80,부산시 강서구 명지동 일반상가,일반상가6층
186,187,명지동,월세,174,105,-,-,2000,150,부산시 강서구 명지동 일반상가,일반상가2층
187,188,명지동,월세,238.61,144,-,-,3000,150,부산시 강서구 명지동 일반상가,일반상가2층
188,189,명지동,월세,196.29,113.18,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가4층
189,190,명지동,월세,207.89,115.83,-,-,1000,70,부산시 강서구 명지동 일반상가,일반상가4층
190,191,명지동,월세,206.57,147.63,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가2층
191,192,명지동,월세,184.54,106.4,-,-,1000,100,부산시 강서구 명지동 단지내상가,단지내상가4층
192,193,명지동,월세,208.8,111,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가5층
193,194,명지동,월세,195.03,113.74,-,-,2000,100,부산시 강서구 명지동 일반상가 대명프라자,일반상가 대명프라자2층
194,195,명지동,월세,172.09,172.09,-,-,10000,400,부산시 강서구 명지동 일반상가,일반상가2층
195,196,명지동,월세,297,82.64,-,-,2000,160,부산시 강서구 명지동 일반상가,일반상가1층
196,197,명지동,월세,195,138.8,-,-,2000,200,부산시 강서구 명지동 일반상가,일반상가1층
197,198,명지동,월세,198.3,142.1,-,-,3000,230,부산시 강서구 명지동 일반상가 명진빌,일반상가 명진빌1층
198,199,명지동,월세,203,121,-,-,2000,65,부산시 강서구 명지동 일반상가,일반상가5층
199,200,명지동,월세,235.54,145.19,-,-,2000,130,부산시 강서구 명지동 일반상가,일반상가5층
200,201,명지동,월세,287.6,167.96,-,-,2000,80,부산시 강서구 명지동 일반상가1,일반상가11층
201,202,명지동,월세,287.6,167.96,-,-,2000,90,부산시 강서구 명지동 일반상가1,일반상가11층
